FilterObjecttypeID	IMBORGUID	Filter	Objecttype	Wijzigingsdatum
1186	35bbd0b8-19fa-4dcd-b369-0ea228ff287e	1090	10424	null
1187	eb47e951-6294-4f72-833f-50b24c74a43c	14808	14912	null
1188	5fd338af-e6ad-4b22-89d7-21d3b9c8a5b9	14965	8348	null
1189	4ab6e9dc-8dc1-4ccd-8527-6d50952fd8ec	1090	16624	null
1190	068b44fb-9cbc-457c-98e5-940317150e13	14807	12099	null
1191	fbc98a55-c6d1-420b-9d8f-19d8fcf9710c	216	12100	null
1192	edcd86f3-b2a5-4d26-8702-9bd280b7f287	79	9380	null
1193	a0bc9e50-7dfb-4cd6-b4bb-39a4cb5ed056	79	9376	null
1194	152508ce-faa0-4c95-8d11-dcd77b11bbd6	1090	76	null
1196	21f31416-1ca5-442f-a829-cbcd36fa0016	79	14618	null
1197	d7d8831e-86bf-4962-a5f9-4e93973e53c0	79	14081	null
1198	d7f2b9b8-9cbf-45f2-9146-3fc4b8ccf10d	79	9374	null
1199	d3f84724-9025-4a8f-b0a2-9d3879664827	1089	9016	null
1200	da880c35-8e8d-4b8c-ba10-886b6635cd77	1089	9014	null
1201	ad93f4ba-edb6-4519-95a1-e5b4fc8d67ce	1089	9015	null
1202	f6d50f98-625a-4d74-8496-f2cfa55a99b1	1089	9013	null
1203	06f66a7b-1d7b-4510-944f-abda5700b8fa	1089	10583	null
1204	4c329a17-4cef-4334-98fd-34e4801605c9	1089	9017	null
1205	e7a5b8ee-8db3-4a12-a434-ecdd918b356d	14961	80	null
1206	78a5b829-cbfc-4e7d-9a6f-90c550cab61d	1089	82	null
1207	a501d69b-2bf1-4225-93c0-12046fa79032	1089	9018	null
1208	5af50552-754f-4323-9527-7437aad76f4b	14958	21631	null
1209	8a64357c-69d5-49aa-9693-f41ad57cbe07	1089	9019	null
1210	dd164411-7675-4d9b-95c8-39dab5e6989c	14958	16863	null
1211	1a9184ff-42c4-471e-adeb-a84727ee6a00	1090	83	null
1212	171908ba-0278-4f95-a980-6203346c3370	91	11195	null
1213	521bbde7-a740-4b0d-ba95-1b4c0f66d8c2	14807	14920	null
1214	ce080188-7310-4b3e-b099-c85a26925c30	14450	84	null
