Parent;Child
Beheerzone;Hondenbeleidsgebied
Markeringspaal;Hondenbeleidspaal
Inspectieput;Hondenhokput
Weginrichtingsobject;Hondenrooster
Speelterrein;Hondenspeelplek
Straatmeubilair;Hondenspeeltoestel
Recreatiezone;Hondenstrand
Overig materiaal;Honingraat Bio Recycling
Sportveld;Honk- en softbalveld
Sportterrein;Honkbalstadion
Sportveld;Honkbalveld
Installatie;Hoofdpost
Slak;Hoogovenslakkenmengsel
Zand;Hoogovenslakkenzand
Voedingskabel;Hoogspanningskabel
Mast;Hoogspanningsmast
Beheerzone;Hoogspanningtrace
Straatmeubilair;Hoogtebegrenzer
Detector;Hoogtedetectieapparaat
Waterinrichtingsobject;Hoogtemerk
Zitelement;Hoogzit
Vleermuispassage;Hop-over
Drainagestelsel;Horizontale drainage
Beheerzone;Hotspot
Materie;Hout
Groenobject;Houtsingel
Groenobject;Houtwal
Bord;Huisnummerbord
Geometrische representatie;Hulpobject
Kast;Hulppost
Verkeerslicht;Hulppostarmatuur
Constructieonderdeel;Hulpstuk
Knooppunt;Hulpstukoriëntatie
Gemaal;HWA-gemaal
Perceelaansluitleiding;HWA-perceelaansluitleiding
Mechanisch rioolstelsel;Hybride drukriolering
Installatie;Hydrant
Granulaat;Hydraulisch betongranulaat
Granulaat;Hydraulisch menggranulaat
Representatie fysiek object;Hydraulisch rioleringsmodel
Zuiveringsreservoir;IBA
IBA;IBA Klasse I
IBA;IBA Klasse II
IBA;IBA Klasse IIIa
IBA;IBA Klasse IIIb
Sportveld;IJsbaan
Bouwwerk;IJskelder
Faunavoorziening;IJsvogelwand
InformatieObject;IMKL-informatie
Grond;Immobilisaat
Functie;In stand houden onderdruk
Bebouwingskern;Industriekern
Infiltratiereservoir;Infiltratiebassin
Goot;Infiltratiegoot
